Castle 1,Castle 2,Castle 3,Castle 4,Castle 5,Castle 6,Castle 7,Castle 8,Castle 9,Castle 10
100,0,0,0,0,0,0,0,0,0
52,2,2,2,2,2,2,12,12,12
26,26,26,16,1,1,1,1,1,1
26,5,5,5,6,7,26,0,0,0
25,0,0,0,0,0,0,25,25,25
25,0,0,0,0,0,0,25,25,25
25,0,0,0,0,0,0,25,25,25
25,0,0,0,0,0,0,25,25,25
23,1,1,1,1,2,2,23,23,23
21,18,15,13,11,9,6,4,2,1
21,0,0,0,0,0,0,26,26,27
20,12,13,13,14,14,14,0,0,0
20,0,0,0,0,0,0,25,25,30
19,17,15,13,11,9,7,5,3,1
19,1,1,1,1,1,1,25,25,25
19,1,1,1,1,1,1,25,25,25
18,18,2,18,18,18,2,2,2,2
18,16,14,12,10,8,6,4,2,1
16,16,16,16,16,16,1,1,1,1
16,11,11,11,11,18,19,1,1,1
15,14,14,14,14,14,15,0,0,0
15,13,13,14,14,14,14,1,1,1
15,7,8,5,5,11,10,11,10,18
15,5,10,12,15,1,12,10,5,15
15,3,7,10,15,19,25,2,2,2
15,1,1,1,2,2,3,25,25,25
15,0,0,0,0,0,0,17,26,42
14,14,14,14,14,15,15,0,0,0
14,14,14,14,14,15,15,0,0,0
14,14,14,14,14,15,15,0,0,0
14,14,14,14,14,14,16,0,0,0
14,5,6,8,10,12,14,10,10,11
13,13,13,14,14,15,15,1,1,1
13,13,13,13,13,13,13,3,3,3
13,7,17,8,11,6,13,7,9,9
13,7,10,13,16,19,22,0,0,0
13,3,13,31,24,11,1,1,2,1
13,0,0,0,0,0,0,29,29,29
13,0,0,0,0,0,0,29,29,29
12,12,12,12,15,17,20,0,0,0
12,12,12,12,13,13,26,0,0,0
12,12,12,12,13,13,13,13,0,0
12,12,12,12,12,12,26,1,1,0
12,12,12,12,12,12,12,12,2,2
12,12,8,8,10,10,10,10,10,10
12,12,2,4,4,11,19,10,18,8
11,12,13,14,15,17,18,0,0,0
11,12,13,14,15,17,18,0,0,0
11,12,13,14,15,16,19,0,0,0
11,12,13,14,15,16,19,0,0,0
11,12,13,14,15,16,17,0,0,2
11,11,12,14,14,18,20,0,0,0
11,11,12,13,14,16,20,1,1,1
11,11,11,13,16,18,20,0,0,0
11,11,11,12,12,13,27,1,1,1
11,11,11,11,13,17,26,0,0,0
11,11,11,11,12,16,22,2,2,2
11,11,11,11,12,12,26,2,2,2
11,11,11,11,12,12,26,0,0,6
11,11,11,11,11,22,23,0,0,0
11,11,11,11,11,21,21,1,1,1
11,11,11,11,11,21,21,1,1,1
11,11,11,11,11,21,21,1,1,1
11,11,11,11,11,20,25,0,0,0
11,11,11,11,11,19,26,0,0,0
11,11,11,11,11,19,21,1,2,2
11,11,11,11,11,16,25,1,1,2
11,11,11,11,11,14,25,2,2,2
11,11,11,11,11,11,11,11,12,0
11,11,11,11,11,11,11,11,11,1
11,11,11,11,11,11,11,11,11,1
11,11,11,11,11,11,11,11,11,1
11,11,11,11,11,11,11,11,10,1
11,2,11,11,11,2,12,36,2,2
11,1,12,1,15,1,19,19,20,1
11,1,1,1,1,1,1,26,26,31
11,1,1,1,1,1,1,25,27,31
11,1,1,1,1,1,1,20,29,34
11,0,1,1,1,1,1,25,28,31
11,0,0,2,3,3,3,26,26,26
11,0,0,0,0,0,0,29,29,31
10,11,12,13,15,17,22,0,0,0
10,10,20,30,5,5,5,5,5,5
10,10,11,12,12,13,26,2,2,2
10,10,10,15,15,20,20,0,0,0
10,10,10,11,11,12,12,12,12,0
10,10,10,10,15,20,25,0,0,0
10,10,10,10,15,20,25,0,0,0
10,10,10,10,10,10,10,10,10,10
10,10,10,10,10,10,10,10,10,10
10,10,10,10,10,10,10,10,10,10
10,10,10,10,10,10,10,10,10,10
10,10,10,10,10,10,10,10,10,10
10,10,10,10,10,10,10,10,10,10
10,10,10,10,10,10,10,10,10,10
10,10,7,5,7,7,16,11,13,14
10,8,8,13,8,20,30,1,1,1
10,1,1,1,1,1,1,27,28,29
10,0,0,0,0,0,0,30,30,30
10,0,0,0,0,0,0,30,30,30
10,0,0,0,0,0,0,30,30,30
10,0,0,0,0,0,0,30,30,30
9,12,13,14,15,16,17,1,1,2
9,11,11,11,11,11,11,23,1,1
9,11,9,11,9,11,9,11,9,11
9,10,10,10,10,10,10,10,10,11
9,9,9,11,9,12,9,11,10,11
9,9,9,9,9,11,11,11,11,11
8,10,12,14,16,17,19,2,1,1
8,10,11,11,12,13,14,6,7,8
8,9,12,14,16,18,20,1,1,1
8,9,10,12,15,18,25,1,1,1
8,9,10,10,15,22,26,0,0,0
8,8,10,10,10,10,11,11,11,11
8,8,9,9,13,20,30,1,1,1
8,8,8,8,8,25,30,3,1,1
8,2,11,12,17,2,21,21,2,2
8,2,4,11,8,14,13,9,14,17
8,0,1,1,2,5,11,24,10,38
7,13,14,15,16,17,18,0,0,0
7,11,0,14,16,0,23,0,29,0
7,10,12,14,16,18,20,1,1,1
7,9,11,14,16,19,24,0,0,0
7,8,11,14,17,20,23,0,0,0
7,8,10,12,15,20,25,1,1,1
7,8,9,11,12,13,14,15,5,6
7,8,9,10,11,12,13,14,16,0
7,7,15,15,15,16,16,3,3,3
7,1,1,1,16,19,23,1,30,1
7,0,14,15,10,17,16,18,2,1
7,0,0,0,0,0,0,31,31,31
7,0,0,0,0,0,0,31,31,31
7,0,0,0,0,0,0,31,31,31
7,0,0,0,0,0,0,23,30,40
6,12,9,15,15,0,0,21,21,1
6,8,11,14,16,18,21,2,2,2
6,8,11,11,16,21,21,2,2,2
6,8,10,14,18,20,24,0,0,0
6,8,10,12,14,24,26,0,0,0
6,8,9,16,18,21,22,0,0,0
6,7,9,12,16,21,29,0,0,0
6,7,8,10,10,21,38,0,0,0
6,7,8,9,10,13,14,15,18,0
6,7,8,9,10,11,12,13,14,10
6,7,8,9,10,10,11,12,13,14
6,6,10,12,14,15,16,17,2,2
6,6,8,15,20,15,10,8,6,6
6,6,7,11,16,21,26,3,3,1
6,6,7,8,10,25,35,1,1,1
6,6,6,32,32,7,11,0,0,0
6,6,6,11,20,21,21,3,3,3
6,6,6,6,6,7,15,16,16,16
6,2,2,15,19,23,30,1,1,1
6,1,8,12,10,1,30,30,1,1
6,1,1,1,1,1,1,21,21,46
6,0,0,0,0,0,0,26,27,41
5,15,15,15,15,15,20,0,0,0
5,12,17,13,13,11,13,5,4,7
5,10,20,10,5,5,20,10,5,10
5,10,10,15,15,20,25,0,0,0
5,9,15,14,16,16,17,0,0,8
5,9,12,14,16,19,22,1,1,1
5,8,12,15,18,22,5,5,5,5
5,8,8,10,13,16,37,1,1,1
5,7,11,14,17,21,25,0,0,0
5,7,10,14,18,21,25,0,0,0
5,7,9,12,15,22,30,0,0,0
5,7,9,12,13,14,18,20,1,1
5,7,9,11,15,21,25,2,2,3
5,7,9,11,12,15,17,19,1,4
5,7,8,14,18,23,25,0,0,0
5,7,5,7,12,11,15,13,13,12
5,6,10,10,10,10,15,30,2,2
5,6,7,8,12,13,14,15,20,0
5,6,7,8,10,14,15,15,15,0
5,6,7,8,9,11,12,13,14,15
5,6,7,8,9,11,12,13,14,15
5,6,7,8,9,11,12,13,14,15
5,6,7,8,9,11,12,13,14,15
5,6,7,8,9,11,12,13,14,15
5,6,6,15,15,25,25,1,1,1
5,6,4,5,24,20,20,10,3,3
5,5,15,15,15,15,15,15,0,0
5,5,11,17,4,7,25,10,11,5
5,5,10,20,20,20,20,0,0,0
5,5,10,10,20,25,25,0,0,0
5,5,10,10,15,15,20,20,0,0
5,5,5,10,15,25,35,0,0,0
5,5,5,5,20,30,30,0,0,0
5,5,5,5,15,15,15,25,5,5
5,5,5,5,11,12,13,14,15,15
5,5,5,5,10,20,2,2,30,16
5,5,5,5,10,10,15,25,19,1
5,5,5,5,10,10,10,15,15,20
5,5,5,5,5,18,25,1,30,1
5,5,5,5,5,8,15,30,15,7
5,5,5,5,5,5,30,30,5,5
5,5,5,5,5,5,30,30,5,5
5,5,5,5,5,5,27,30,6,7
5,5,5,5,5,5,5,5,5,55
5,5,0,0,0,0,0,30,30,30
5,2,1,9,4,10,6,20,21,22
5,1,2,3,4,10,6,7,8,9
5,1,1,1,1,1,1,26,30,33
5,1,1,1,1,1,1,26,30,33
5,1,1,1,1,1,1,25,29,35
5,1,0,11,14,13,14,11,17,14
5,0,11,14,16,0,22,32,0,0
5,0,10,0,0,0,20,30,35,0
